name,make,model,build_date,odometer,body_type,fuel,transmission,seats,auctioneer,deadline,link_to_auction,link_to_condition_report,other_specs,unique_identifier,hours,state,redbook_code,redbook_average_wholesale,current_market_retail,auction_registration_link,vin,date_listed,name_of_auction
2015 Volvo Xc90 D5,Volvo,Xc90 D5,2015,173716,Wagon,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2972112/2015-volvo-xc90-d5-inscription-l-series-my16?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2972112/2015-volvo-xc90-d5-inscription-l-series-my16?filterid=19551c425c,Inscription L Series My16 4Wd   Whitebuild     Exp13/12/2024,2015VolvoXc90 D5173716,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Volvo Xc90 D5,Volvo,Xc90 D5,2015,173716,Wagon,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2972112/2015-volvo-xc90-d5-inscription-l-series-my16?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2972112/2015-volvo-xc90-d5-inscription-l-series-my16?filterid=19551c425c,Inscription L Series My16 4Wd   Whitebuild     Exp13/12/2024,2015VolvoXc90 D5173716,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2017 Land Rover Discovery,Land,Rover Discovery,2017,107279,Wagon,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975972/2017-land-rover-discovery-sd4-hse-series-5-l462-my17?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975972/2017-land-rover-discovery-sd4-hse-series-5-l462-my17?filterid=19551c425c,Sd4 Hse Series 5 L462 My17 4Wd   Whitebuild     Exp,2017LandRover Discovery107279,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2017 Land Rover Discovery,Land,Rover Discovery,2017,107279,Wagon,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975972/2017-land-rover-discovery-sd4-hse-series-5-l462-my17?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975972/2017-land-rover-discovery-sd4-hse-series-5-l462-my17?filterid=19551c425c,Sd4 Hse Series 5 L462 My17 4Wd   Whitebuild     Exp,2017LandRover Discovery107279,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2016 Mercedes-Benz Gla-Class Gla180,Mercedes-Benz,Gla-Class Gla180,2016,59107,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2977690/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2977690/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,X156 Fwd   Bluebuild     Exp28/10/2025,2016Mercedes-BenzGla-Class Gla18059107,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2016 Mercedes-Benz Gla-Class Gla180,Mercedes-Benz,Gla-Class Gla180,2016,59107,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2977690/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2977690/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,X156 Fwd   Bluebuild     Exp28/10/2025,2016Mercedes-BenzGla-Class Gla18059107,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2018 Mazda Cx-5 Akera,Mazda,Cx-5 Akera,2018,42018,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2971152/2018-mazda-cx-5-akera-kf4wla?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2971152/2018-mazda-cx-5-akera-kf4wla?filterid=19551c425c,Kf4Wla 4Wd   Blackbuild     Exp12/01/2025,2018MazdaCx-5 Akera42018,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2018 Mazda Cx-5 Akera,Mazda,Cx-5 Akera,2018,42018,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2971152/2018-mazda-cx-5-akera-kf4wla?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2971152/2018-mazda-cx-5-akera-kf4wla?filterid=19551c425c,Kf4Wla 4Wd   Blackbuild     Exp12/01/2025,2018MazdaCx-5 Akera42018,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2016 Kia Carnival,Kia,Carnival,2016,137190,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975983/2016-kia-carnival-si-yp-my16?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975983/2016-kia-carnival-si-yp-my16?filterid=19551c425c,Si Yp My16 Fwd   Whitebuild     Exp14/06/2025,2016KiaCarnival137190,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2016 Kia Carnival,Kia,Carnival,2016,137190,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975983/2016-kia-carnival-si-yp-my16?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975983/2016-kia-carnival-si-yp-my16?filterid=19551c425c,Si Yp My16 Fwd   Whitebuild     Exp14/06/2025,2016KiaCarnival137190,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
